RDM	Matched-part	Total-number-of-reaction	cofactor	RDM_part_match_weighatge	EC-wise-count	EC-wise-reactionID	
C1b-C4a:H+O1a-*+O4a:C8y+H-C8y+H	RDM	30	1||1||1||1||1||1||1	1	EC-1.1.1:17||EC-1.1.3:5||EC-1.1.99:2||EC-1.14.11:1||EC-1.14.14:2||EC-1.2.1:2||EC-1.4.3:1	EC-1.1.1:RXN-18386,RXN-15785,RXN-22963,RXN-13103,RXN-15475,RXN-19622,SOLDEHYD-RXN,PYRIDOXINE-4-DEHYDROGENASE-RXN,RXN-8580,RXN-8581,RXN-9909,RXN-16954,RXN-16953,RXN0-5141,1.1.1.97-RXN,RXN-662,COLCYD-RXN||EC-1.1.3:RXN-10739,R362-RXN,PYRIDOXINE-4-OXIDASE-RXN,1.1.3.38-RXN,RXN-12674||EC-1.1.99:RXN-8757,PYRIDOXINE-5-DEHYDROGENASE-RXN||EC-1.14.11:RXN-23269||EC-1.14.14:RXN-22767,RXN-22768||EC-1.2.1:RXN-21347,RXN-19620||EC-1.4.3:PNPOXI-RXN	
C1c-C5a:H+O1a-*+O5a:C1b+C1y-C1b+C1y	RDM	10	1||1	1	EC-1.1.1:9||EC-1.1.99:1	EC-1.1.1:RXN-18658,RXN-18647,RXN-18657,RXN-18656,RXN-23150,RXN-15607,RXN-12750,RXN-18649,RXN-18643||EC-1.1.99:RXN-13526	
C1b-C6a:H+H+O1a-*+O6a+O6a:C1y-C1y	RDM	10	1||1||1	1	EC-1.1.5:2||EC-1.1.1:6||EC-1.1.3:2	EC-1.1.5:RXN-18023,RXN-18025||EC-1.1.1:GDP-MANNOSE-6-DEHYDROGENASE-RXN,RXN-14756,1.1.1.136-RXN,DTDP-GALACTOSE-6-DEHYDROGENASE-RXN,UGD-RXN,UDPMANNACADEHYDROG-RXN||EC-1.1.3:NUCLEOSIDE-OXIDASE-RXN,1.1.3.39-RXN	
