Reaction-Name	MetaCyc-Reaction-ID	Predicted-EC-number	Final-Score	Rank	
A2	RXN-20202	1.14.99.68	0.893	1	
A2	RXN-20205	1.14.99.67	0.893	1	
A2	RXN-22382	1.7.1.M3	0.886	2	
A2	RXN-22356	1.7.99.M1	0.88	3	
A2	RXN-22528	1.14.13.248	0.657	4	
