Reaction-Name	MetaCyc-Reaction-ID	Predicted-EC-number	Final-Score	Rank	
42601	HYOSCYAMINE-6-DIOXYGENASE-RXN	1.14.11.11	0.951	1	
42601	RXN-17381	1.14.11.52	0.915	2	
42601	6-BETA-HYDROXYHYOSCYAMINE-EPOXIDASE-RXN	1.14.20.13	0.91	3	
42601	RXN-14397	1.14.11.49	0.9	4	
42601	RXN-14401	1.14.11.37	0.9	4	
42601	1.14.11.3-RXN	1.14.11.3	0.9	4	
42601	PROCOLLAGEN-PROLINE-3-DIOXYGENASE-RXN	1.14.11.7	0.885	5	
42601	1.14.11.28-RXN	1.14.11.28	0.876	6	
42601	RXN-7775,RXN-7922,RXN-7648,NARINGENIN-3-DIOXYGENASE-RXN	1.14.11.9	0.873	7	
42601	RXN-14981	1.14.20.6	0.873	7	
42601	RXN-10815	1.13.11.27	0.87	8	
42601	RXN1F-170	1.14.11.15	0.868	9	
42601	RXN-23553	1.14.11.82	0.867	10	
42601	RXNDQC-2	1.14.13.168	0.824	11	
42601	RXN0-6512	2.3.1.223	0.819	12	
42601	RXN-11474	2.3.1.179	0.804	13	
42601	RXN-20340,RXN-20332,RXN-13295,RXN-13297,RXN-13441,RXN-20386,RXN-20336,RXN-13294,RXN-20344,RXN-20348,RXN-9543,RXN-13296	2.3.1.199	0.781	14	
42601	CHOLOYLGLYCINE-HYDROLASE-RXN	3.5.1.24	0.775	15	
42601	SUCCGLUDESUCC-RXN	3.5.1.96	0.773	16	
42601	RXN-9729	2.3.1.187	0.765	17	
42601	RXN-17385,CHENODEOXYCHOLOYLTAURINE-HYDROLASE-RXN,RXN-21345	3.5.1.74	0.761	18	
42601	RXN-18696	3.5.1.128	0.759	19	
42601	2.3.1.180-RXN	2.3.1.180	0.755	20	
42601	3-OXOACYL-ACP-SYNTH-BASE-RXN	2.3.1.41	0.755	20	
42601	RXN-20069	3.5.1.3	0.752	21	
42601	THEANINE-HYDROLASE-RXN	3.5.1.65	0.75	22	
42601	RXN0-3942	3.5.1.94	0.75	22	
42601	RXN-15251	3.5.1.123	0.747	23	
42601	3.5.1.70-RXN	3.5.1.70	0.745	24	
42601	RXN-10043	3.5.1.97	0.739	25	
42601	RXN-13735	2.3.1.198	0.731	26	
42601	RXN-19860	2.3.1.M63	0.731	26	
42601	RXN-13805	2.3.1.15	0.731	26	
42601	RXN-21096	2.3.1.M91	0.686	27	
42601	RXN-4521	1.14.14.85	0.67	28	
42601	RXN66-341,RXN-21976,4.1.2.30-RXN	1.14.14.32	0.665	29	
42601	RXN-15674	1.14.14.125	0.66	30	
42601	RXN-13136	1.14.14.133	0.642	31	
42601	RXN-4342	1.14.14.56	0.642	31	
42601	RXN0-722,UDPREDUCT-RXN	1.17.4.1	0.641	32	
42601	RXN-11908	1.14.14.149	0.639	33	
42601	RXN-16897	1.14.13.M8	0.638	34	
42601	RXN-12970	1.14.13.153	0.636	35	
42601	RXN0-724	1.1.98.6	0.636	35	
42601	RXN-21265	1.17.4.2	0.636	35	
42601	RXN-13324	1.14.13.161	0.629	36	
42601	RXN66-161	1.14.14.1	0.617	37	
42601	RXN-15379	1.14.14.70	0.616	38	
42601	RXN-18937	1.14.14.68	0.613	39	
42601	RXN-22861,RXN-777	1.14.14.M54	0.608	40	
42601	RXN-21195	6.2.2.2	0.601	41	
42601	RXN-8855	1.14.13.146	0.579	42	
42601	RXN-13081	1.14.13.163	0.568	43	
42601	RXN-17344	1.13.11.39	0.466	44	
42601	RXN-17976	1.14.13.234	0.459	45	
