Reaction-Name	MetaCyc-Reaction-ID	Predicted-EC-number	Initial-Screening-Weighted-Score	Final-Score	
42601	RXN-10815,4-HYDROXYPHENYLPYRUVATE-DIOXYGENASE-RXN,RXN-13640	1.13.11	0.515	1.0	
42601	1.14.11.20-RXN,RXN-21743,RXN-14397,RXN-14318,RXN-18394,RXN-6547,RXN-113,RXN-14244,RXN-7680,RXN-17381,RXN-7983,1.14.11.2-RXN,1.14.11.28-RXN,RXN-7775,RXN1F-170,1.14.11.9-RXN,RXN18C3-236,RXN-7922,RXN-7648,RXN-14401,PROCOLLAGEN-PROLINE-3-DIOXYGENASE-RXN,RXN490-3641,RXN-6542,RXN-991,NARINGENIN-3-DIOXYGENASE-RXN,RXN-6543,1.14.11.3-RXN,RXN-171,RXN-7982,RXN-6550,RXN-23553,RXN-115,RXN-18623,RXN-947,HYOSCYAMINE-6-DIOXYGENASE-RXN	1.14.11	1.997	1.0	
42601	RXNDQC-2	1.14.13	0.47	1.0	
42601	RXN-6524,RXN-14981	1.14.20	0.354	1.0	
42601	RXN-15917	2.3.1	0.24	1.0	
42601	RXN-21195,RXN-21191	6.2.2	0.167	0.815	
42601	RXN0-724,RXN0-746,RXN0-745,RXN0-723	1.1.98	0.187	0.733	
42601	RXN0-747,RXN-21265,GDPREDUCT-RXN,RXN-21262,ADPREDUCT-RXN,RIBONUCLEOSIDE-DIP-REDUCTII-RXN,RXN0-748,RXN-21264,RXN0-722,RXN-21263,CDPREDUCT-RXN,UDPREDUCT-RXN	1.17.4	0.519	0.733	
42601	RXN-17385,CHENODEOXYCHOLOYLTAURINE-HYDROLASE-RXN,RXN-18481,RXN-18493,RXN-15251,3.5.1.60-RXN,3.5.1.26-RXN,RXN-10043,THEANINE-HYDROLASE-RXN,RXN-17099,RXN-18696,RXN6666-2,RXN-10042,RXN-18355,RXN-19540,RXN-20506,RXN-10044,RXN-10041,RXN-13031,RXN-20753,RXN-20508,RXN0-3942,RXN-9078,RXN-21345,3.5.1.52-RXN,RXN-21419,RXN-20509,RXN-16523,3.5.1.70-RXN,RXN-3962,CHOLOYLGLYCINE-HYDROLASE-RXN,R346-RXN,SUCCGLUDESUCC-RXN,3.5.1.92-RXN	3.5.1	0.142	0.716	
42601	RXN-18140	1.14.14	1.038	0.705	
