Reaction-Name	MetaCyc-Reaction-ID	Predicted-EC-number	Initial-Screening-Weighted-Score	Final-Score	
74648	3-METHYLENEOXINDOLE-REDUCTASE-RXN	1.3.1	1.382	1.0	
74648	RXN-4881,RXN-8511,4.2.3.18-RXN,RXN-13338	4.2.3	0.529	1.0	
74648	RXN-17005	1.14.13	0.184	1.0	
74648	6-HYDROXYNICOTINATE-REDUCTASE-RXN	1.3.7	0.092	0.967	
74648	RXN-19013,RXN-12843,RXN-15760,RXN-15757,RXN-20254,RXN-19014	5.4.99	0.095	0.891	
74648	RXN-19171,5.5.1.13-RXN,RXN-19177,RXN-4861,RXN-8528	5.5.1	0.098	0.891	
74648	RXN-18128	1.14.19	0.272	0.864	
74648	RXN-12662	1.14.20	0.584	0.674	
74648	HOLOCYTOCHROME-C-SYNTHASE-RXN	4.4.1	0.163	0.593	
74648	RXN-9836,RXN-9837	1.1.1	0.444	0.457	
