Reaction-Name	MetaCyc-Reaction-ID	Predicted-EC-number	Final-Score	Rank	
74648	3-METHYLENEOXINDOLE-REDUCTASE-RXN	1.3.1.17	0.681	1	
74648	RXN-4522,1.3.3.9-RXN	1.14.19.62	0.666	2	
74648	RXN-4881	4.2.3.28	0.65	3	
74648	RXN-12843	5.4.99.48	0.641	4	
74648	RXN-8511	4.2.3.32	0.635	5	
74648	RXN-13338	4.2.3.131	0.635	5	
74648	4.2.3.18-RXN	4.2.3.18	0.634	6	
74648	RXN-9563	1.3.1.105	0.625	7	
74648	RXN-15995,RXN-15991,RXN-15993,RXN-15998,RXN-15996	4.4.1.29	0.622	8	
74648	RXN-15984	4.4.1.32	0.622	8	
74648	RXN-15992,RXN-15994	4.4.1.30	0.622	8	
74648	RXN-18792	4.2.3.165	0.62	9	
74648	RXN-19171	5.5.1.M10	0.619	10	
74648	4.2.3.19-RXN	4.2.3.19	0.614	11	
74648	RXN-19013	5.4.99.65	0.614	11	
74648	RXN-9291	4.2.3.34	0.606	12	
74648	RXN-8592	4.2.3.126	0.597	13	
74648	RXN-11906	4.2.3.62	0.597	13	
74648	RXN-8588	4.2.3.92	0.597	13	
74648	RXN-19014	5.4.99.66	0.587	14	
74648	5.5.1.13-RXN	5.5.1.13	0.577	15	
74648	RXN-4861	5.5.1.12	0.577	15	
74648	RXN-8528	5.5.1.14	0.577	15	
74648	RXN-9292	1.3.7.6	0.559	16	
74648	1.3.7.3-RXN	1.3.7.3	0.559	16	
74648	1.3.7.5-RXN	1.3.7.5	0.559	16	
74648	1.3.7.4-RXN	1.3.7.4	0.559	16	
74648	RXN-17491,RXN-17486,RXN-17488,RXN-17494	1.3.7.13	0.548	17	
74648	RXN-17477	1.3.7.14	0.544	18	
74648	RXN-15988	4.4.1.31	0.525	19	
74648	RXN-15990	4.4.1.33	0.525	19	
74648	RXN-15997	4.4.1.39	0.525	19	
74648	HOLOCYTOCHROME-C-SYNTHASE-RXN	4.4.1.17	0.51	20	
74648	RXN-18127,RXN-18142	1.14.19.50	0.465	21	
74648	6-HYDROXYNICOTINATE-REDUCTASE-RXN	1.3.7.1	0.42	22	
74648	RXN-17619	1.14.19.48	0.375	23	
74648	R501-RXN	1.14.13.247	0.346	24	
74648	RXN-13111	1.14.13.178	0.334	25	
74648	RXN-11516,RXN-13109	1.14.13.179	0.328	26	
74648	RXN-11518	1.14.13.128	0.328	26	
74648	RXN-17349	1.14.13.M16	0.298	27	
74648	RXN-10891	1.14.13.82	0.277	28	
74648	RXN-22705	1.14.13.251	0.276	29	
74648	RXN-9770	1.14.13.111	0.209	30	
74648	RXN-9617	1.14.19.13	0.192	31	
74648	RXN-9740	1.14.13.131	0.146	32	
74648	RXN-12901	1.14.13.238	0.146	32	
74648	METHANOL-DEHYDROGENASE-RXN	1.1.1.244	0.131	33	
